id	state_id	name	created_at	updated_at
74	4	Arbaoua	2024-02-13 19:35:17	2024-02-13 19:35:17
75	1	Aïn Dorij	2024-02-13 19:35:17	2024-02-13 19:35:17
76	4	Dar Gueddari	2024-02-13 19:35:17	2024-02-13 19:35:17
77	4	Had Kourt	2024-02-13 19:35:17	2024-02-13 19:35:17
78	4	Jorf El Melha	2024-02-13 19:35:17	2024-02-13 19:35:17
79	4	Kénitra	2024-02-13 19:35:17	2024-02-13 19:35:17
80	4	Khenichet	2024-02-13 19:35:17	2024-02-13 19:35:17
81	4	Lalla Mimouna	2024-02-13 19:35:17	2024-02-13 19:35:17
82	4	Mechra Bel Ksiri	2024-02-13 19:35:17	2024-02-13 19:35:17
83	4	Mehdia	2024-02-13 19:35:17	2024-02-13 19:35:17
84	4	Moulay Bousselham	2024-02-13 19:35:17	2024-02-13 19:35:17
85	4	Sidi Allal Tazi	2024-02-13 19:35:17	2024-02-13 19:35:17
86	4	Sidi Kacem	2024-02-13 19:35:17	2024-02-13 19:35:17
87	4	Sidi Slimane	2024-02-13 19:35:17	2024-02-13 19:35:17
88	4	Sidi Taibi	2024-02-13 19:35:17	2024-02-13 19:35:17
89	4	Sidi Yahya El Gharb	2024-02-13 19:35:17	2024-02-13 19:35:17
90	4	Souk El Arbaa	2024-02-13 19:35:17	2024-02-13 19:35:17
91	9	Akka	2024-02-13 19:35:17	2024-02-13 19:35:17
92	10	Assa	2024-02-13 19:35:17	2024-02-13 19:35:17
93	10	Bouizakarne	2024-02-13 19:35:17	2024-02-13 19:35:17
94	10	El Ouatia	2024-02-13 19:35:17	2024-02-13 19:35:17
95	11	Es-Semara	2024-02-13 19:35:17	2024-02-13 19:35:17
96	9	Fam El Hisn	2024-02-13 19:35:17	2024-02-13 19:35:17
97	9	Foum Zguid	2024-02-13 19:35:17	2024-02-13 19:35:17
98	10	Guelmim	2024-02-13 19:35:17	2024-02-13 19:35:17
99	10	Taghjijt	2024-02-13 19:35:17	2024-02-13 19:35:17
100	10	Tan-Tan	2024-02-13 19:35:17	2024-02-13 19:35:17
101	9	Tata	2024-02-13 19:35:17	2024-02-13 19:35:17
102	10	Zag	2024-02-13 19:35:17	2024-02-13 19:35:17
103	7	Marrakech	2024-02-13 19:35:17	2024-02-13 19:35:17
104	7	Ait Daoud	2024-02-13 19:35:17	2024-02-13 19:35:17
115	7	Amizmiz	2024-02-13 19:35:17	2024-02-13 19:35:17
116	7	Assahrij	2024-02-13 19:35:17	2024-02-13 19:35:17
117	7	Aït Ourir	2024-02-13 19:35:17	2024-02-13 19:35:17
118	7	Ben Guerir	2024-02-13 19:35:17	2024-02-13 19:35:17
119	7	Chichaoua	2024-02-13 19:35:17	2024-02-13 19:35:17
120	7	El Hanchane	2024-02-13 19:35:17	2024-02-13 19:35:17
121	7	El Kelaâ des Sraghna	2024-02-13 19:35:17	2024-02-13 19:35:17
122	7	Essaouira	2024-02-13 19:35:17	2024-02-13 19:35:17
123	7	Fraïta	2024-02-13 19:35:17	2024-02-13 19:35:17
124	7	Ghmate	2024-02-13 19:35:17	2024-02-13 19:35:17
125	8	Ighounane	2024-02-13 19:35:17	2024-02-13 19:35:17
126	7	Imintanoute	2024-02-13 19:35:17	2024-02-13 19:35:17
127	7	Kattara	2024-02-13 19:35:17	2024-02-13 19:35:17
128	7	Lalla Takerkoust	2024-02-13 19:35:17	2024-02-13 19:35:17
129	7	Loudaya	2024-02-13 19:35:17	2024-02-13 19:35:17
130	7	Lâattaouia	2024-02-13 19:35:17	2024-02-13 19:35:17
131	7	Moulay Brahim	2024-02-13 19:35:17	2024-02-13 19:35:17
132	7	Mzouda	2024-02-13 19:35:17	2024-02-13 19:35:17
133	7	Ounagha	2024-02-13 19:35:17	2024-02-13 19:35:17
134	7	Sid L'Mokhtar	2024-02-13 19:35:17	2024-02-13 19:35:17
135	7	Sid Zouin	2024-02-13 19:35:17	2024-02-13 19:35:17
136	7	Sidi Abdallah Ghiat	2024-02-13 19:35:17	2024-02-13 19:35:17
137	7	Sidi Bou Othmane	2024-02-13 19:35:17	2024-02-13 19:35:17
138	7	Sidi Rahhal	2024-02-13 19:35:17	2024-02-13 19:35:17
139	7	Skhour Rehamna	2024-02-13 19:35:17	2024-02-13 19:35:17
140	7	Smimou	2024-02-13 19:35:17	2024-02-13 19:35:17
141	7	Tafetachte	2024-02-13 19:35:17	2024-02-13 19:35:17
142	7	Tahannaout	2024-02-13 19:35:17	2024-02-13 19:35:17
143	7	Talmest	2024-02-13 19:35:17	2024-02-13 19:35:17
144	7	Tamallalt	2024-02-13 19:35:17	2024-02-13 19:35:17
145	7	Tamanar	2024-02-13 19:35:17	2024-02-13 19:35:17
146	7	Tamansourt	2024-02-13 19:35:17	2024-02-13 19:35:17
147	7	Tameslouht	2024-02-13 19:35:17	2024-02-13 19:35:17
148	9	Tanalt	2024-02-13 19:35:17	2024-02-13 19:35:17
149	7	Zeubelemok	2024-02-13 19:35:17	2024-02-13 19:35:17
150	3	Meknès‎	2024-02-13 19:35:17	2024-02-13 19:35:17
151	5	Khénifra	2024-02-13 19:35:17	2024-02-13 19:35:17
152	3	Agourai	2024-02-13 19:35:17	2024-02-13 19:35:17
153	3	Ain Taoujdate	2024-02-13 19:35:17	2024-02-13 19:35:17
154	8	MyAliCherif	2024-02-13 19:35:17	2024-02-13 19:35:17
155	8	Rissani	2024-02-13 19:35:17	2024-02-13 19:35:17
156	5	Amalou Ighriben	2024-02-13 19:35:17	2024-02-13 19:35:17
157	8	Aoufous	2024-02-13 19:35:17	2024-02-13 19:35:17
158	8	Arfoud	2024-02-13 19:35:17	2024-02-13 19:35:17
159	3	Azrou	2024-02-13 19:35:17	2024-02-13 19:35:17
160	3	Aïn Jemaa	2024-02-13 19:35:17	2024-02-13 19:35:17
161	3	Aïn Karma	2024-02-13 19:35:17	2024-02-13 19:35:17
162	3	Aïn Leuh	2024-02-13 19:35:17	2024-02-13 19:35:17
163	3	Aït Boubidmane	2024-02-13 19:35:17	2024-02-13 19:35:17
164	5	Aït Ishaq	2024-02-13 19:35:17	2024-02-13 19:35:17
165	8	Boudnib	2024-02-13 19:35:17	2024-02-13 19:35:17
166	3	Boufakrane	2024-02-13 19:35:17	2024-02-13 19:35:17
167	8	Boumia	2024-02-13 19:35:17	2024-02-13 19:35:17
168	3	El Hajeb	2024-02-13 19:35:17	2024-02-13 19:35:17
169	5	Elkbab	2024-02-13 19:35:17	2024-02-13 19:35:17
170	5	Er-Rich	2024-02-13 19:35:17	2024-02-13 19:35:17
171	8	Errachidia	2024-02-13 19:35:17	2024-02-13 19:35:17
172	8	Gardmit	2024-02-13 19:35:17	2024-02-13 19:35:17
173	8	Goulmima	2024-02-13 19:35:17	2024-02-13 19:35:17
174	8	Gourrama	2024-02-13 19:35:17	2024-02-13 19:35:17
175	5	Had Bouhssoussen	2024-02-13 19:35:17	2024-02-13 19:35:17
176	3	Haj Kaddour	2024-02-13 19:35:17	2024-02-13 19:35:17
177	3	Ifrane	2024-02-13 19:35:17	2024-02-13 19:35:17
178	8	Itzer	2024-02-13 19:35:17	2024-02-13 19:35:17
179	8	Jorf	2024-02-13 19:35:17	2024-02-13 19:35:17
180	5	Kehf Nsour	2024-02-13 19:35:17	2024-02-13 19:35:17
181	5	Kerrouchen	2024-02-13 19:35:17	2024-02-13 19:35:17
182	3	M'haya	2024-02-13 19:35:17	2024-02-13 19:35:17
183	5	M'rirt	2024-02-13 19:35:17	2024-02-13 19:35:17
184	8	Midelt	2024-02-13 19:35:17	2024-02-13 19:35:17
185	8	Moulay Ali Cherif	2024-02-13 19:35:17	2024-02-13 19:35:17
186	5	Moulay Bouazza	2024-02-13 19:35:17	2024-02-13 19:35:17
187	3	Moulay Idriss Zerhoun	2024-02-13 19:35:17	2024-02-13 19:35:17
188	3	Moussaoua	2024-02-13 19:35:17	2024-02-13 19:35:17
189	3	N'Zalat Bni Amar	2024-02-13 19:35:17	2024-02-13 19:35:17
190	5	Ouaoumana	2024-02-13 19:35:17	2024-02-13 19:35:17
191	3	Oued Ifrane	2024-02-13 19:35:17	2024-02-13 19:35:17
192	3	Sabaa Aiyoun	2024-02-13 19:35:17	2024-02-13 19:35:17
